
185.410004,195.740005,183.910004,195.330002,195.330002,57204900
194,198.25,191.330002,196.020004,196.020004,47575100
199.229996,204,187.509995,203.339996,203.339996,64885500
198.669998,199.25,185,188.440002,188.440002,62633100
187.360001,195.119995,179.899994,186.75,186.75,63299300
180.339996,182.550003,168.270004,169.5,169.5,64445500
176.889999,181.979996,170.25,175.949997,175.949997,76147400
173.470001,177.529999,165.679993,166.300003,166.300003,67016700
162.190002,167.880005,155.669998,161.75,161.75,70872800
167.880005,179.279999,165.929993,177.059998,177.059998,66936500
175.089996,177.880005,171.059998,172.639999,172.639999,52144600
180.740005,183.710007,176.339996,181.770004,181.770004,58583000
177.050003,181.179993,168.639999,169.380005,169.380005,54516100
169.369995,176.869995,167.339996,171.240005,171.240005,62131000
173.320007,174.100006,157.550003,166.940002,166.940002,73731800
